question_id,question_number,subject,question_statement,correct_answer,exam_name,exam_year,exam_type,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e
exams_pt-br_fuvest_2010_q_42,42,Sociologia,"Serviços como o fotolog e o Orkut, tal qual outras
ferramentas para mensagens instantâneas na Internet
(MSN e ICQ), não devem ser lidos como sintomas de um
mundo que a velocidade da comunicação e as tecnologias
digitais teriam tornado “pequeno”. Ligar-se em rede e
“estreitar” o mundo é uma escolha, algo como uma
camada adicional de sociabilidade disponível somente
para alguns, e que também, somente para alguns, faz
sentido acionar.
Maria Isabel Mendes de Almeida e Fernanda Eugênio (Orgs).
Culturas Jovens: novos mapas do afeto, 2006. Adaptado.

Considere o texto acima e as três afirmações:
I. As redes de comunicação propiciadas pela Internet
têm a propriedade da conectividade e, ao mesmo
tempo, são suscetíveis de funcionar como
instrumentos de integração e exclusão.
II. A revolução tecnológica pode consolidar as
desigualdades sociais e também aprofundá-las,
produzindo um distanciamento cognitivo entre os que
já convivem com ela e os que estão sem acesso a ela.
III. Nesse ambiente comunicacional, as fronteiras se
relativizam e tem-se a possibilidade de adicionar, às
noções de espaço e tempo tradicionais, uma nova
noção de espaço: o ciberespaço.
Está correto o que se afirma em
a) I, apenas.
b) II, apenas.
c) I e II, apenas.
d) II e III, apenas.
e) I, II e III.",e,exams_pt-br_fuvest_2010,2010,fuvest,"I, apenas.","II, apenas.","I e II, apenas.","II e III, apenas.","I, II e III."
ita_2020_q_37,37,Português,"No trecho: “it’s not just democracy that is at risk, but also the economy”, a expressão sublinhada expressa uma ideia de",d,ita_2020,2020,ita,oposição.,concessão.,concordância.,adição.,contraste.
enem_2023-1_q_72,72,Física,"TEXTO I
Por hora, apenas os mais abastados poderão sonhar em viajar ao espaço, seja por um foguete ou por um avião híbrido, mas toda a população global poderá sentir os efeitos dessas viagens e avanços tecnológicos. Para uma aventura dessas, as empresas tiveram que criar novas tecnologias que podem, em algum momento, voltar para a sociedade. A câmera fotográfica, hoje comum no mundo, antes foi uma invenção para ser usada em telescópios, e o titânio, usado até na medicina, foi desenvolvido para a construção de foguetes.
ORLANDO, G. Corrida espacial dos bilionários pode trazer vantagens para todos. Disponível em: https://noticias.r7.com. Acesso em: 5 nov. 2021 (adaptado).
TEXTO II
ACREDITE EM MIM. NÃO CONFIE NESSE PESSOAL!
BILIONÁRIOS LANÇAM NOVA ERA DE VIAGENS AO ESPAÇO...
VIEMOS EM PAZ!
CAZO. Disponível em: www.humorpolitico.com.br. Acesso em: 5 nov. 2021.
Os textos apresentam perspectivas da nova corrida espacial que revelam, respectivamente:",b,enem_2023-1,2023,enem,Dependência e progresso.,Expectativa e desconfiança.,Angústia e adaptação.,Pioneirismo e retrocesso.,Receio e civilidade.
exams_pt-br_fuvest_2016_q_57,57,Português,"Das propostas de substituição para os trechos sublinhados nas seguintes frases do texto, a única que faz, de maneira adequada, a correção de um erro gramatical presente no discurso do narrador é:",e,exams_pt-br_fuvest_2016,2016,fuvest,"“Assim mesmo morrera negro, morrera pobre.”: havia morrido negro, havia morrido pobre.","“Mas Omolu dizia que não fora o alastrim que matara.”: Omolu dizia, no entanto, que não fora.","“Eles tinham dinheiro, léguas e léguas de terra, mas não sabiam tampouco da vacina.”: mas tão pouco sabiam da vacina.",“Mas para que seus filhos negros não o esqueçam [...].”: não lhe esqueçam.,“E numa noite que os atabaques batiam nas macumbas [...].”: numa noite em que os atabaques.
enem_2022-1_q_86,86,Filosofia,"Empédocles estabelece quatro elementos corporais — fogo, ar, água e terra —, que são eternos e que mudam aumentando e diminuindo mediante mistura e separação; mas os princípios propriamente ditos, pelos quais aqueles são movidos, são o Amor e o Ódio. Pois é preciso que os elementos permaneçam alternadamente em movimento, sendo ora misturados pelo Amor, ora separados pelo Ódio.
SIMPLÍCIO. Física, 25, 21. In: Os pré-socráticos. São Paulo: Nova Cultural, 1996.",c,enem_2022-1,2022,enem,exalta a investigação filosófica.,transcende ao mundo sensível.,evoca a discussão cosmogônica.,fundamenta as paixões humanas.,corresponde à explicação mitológica.
enem_2020-2_q_156,156,Português,"A Lei de Zipf, batizada com o nome do linguista americano George Zipf, é uma lei empírica que relaciona a frequência (f) de uma palavra em um dado texto com o seu ranking (r). Ela é dada por f = A / r^B. O ranking da palavra é a sua posição ao ordenar as palavras por ordem de frequência. Ou seja, r = 1 para a palavra mais frequente, r = 2 para a segunda palavra mais frequente e assim sucessivamente. A e B são constantes positivas. Disponível em: http://klein.sbm.org.br. Acesso em: 12 ago. 2020 (adaptado). Com base nos valores de X = log(r) e Y = log(f), é possível estimar valores para A e B. No caso hipotético em que a lei é verificada exatamente, a relação entre Y e X é",a,enem_2020-2,2020,enem,Y = log A − B X,Y = log A X + log B,Y = A / (B − X) log,Y = A / (B X) log,Y = A X B log
exams_pt-br_fuvest_2003_q_34,34,História,"Ao longo do século 17, vegetais americanos como a batata-doce, o milho, a mandioca, o ananás e o caju penetraram no continente africano. Isso deve ser entendido como",a,exams_pt-br_fuvest_2003,2003,fuvest,"parte do aumento do tráfico negreiro, que estreitou as relações entre a América Portuguesa e a África e fez do sistema sul-atlântico o mais importante do Império Português.","indício do alinhamento crescente de Portugal com a Inglaterra, que pressupunha a consolidação da penetração comercial no interior da África.",fruto de uma política sistemática de Portugal no sentido de anular a influência asiática e consolidar a americana no interior de seu império.,"imposição da diplomacia adotada pela dinastia dos Braganças, que desejava ampliar a influência portuguesa no interior da África, região controlada por comerciantes espanhóis.","alternativa encontrada pelo comércio português, já que os franceses controlavam as antigas possessões portuguesas no Oriente e no estuário do Prata."
enem_2022-1_q_75,75,Geografia,"O povo Kambeba é o povo das águas. Os mais velhos costumam contar que o povo nasceu de uma gota-d’água que caiu do céu em uma grande chuva. Nessa gota estavam duas gotículas: o homem e a mulher. “Por essa narrativa e cosmologia indígena de que nós somos o povo das águas é que o rio nos tem fundamental importância”, diz Márcia Wayna Kambeba, mestre em Geografia e escritora. Todos os dias, ela ia com o pai observar o rio. Ia em silêncio e, antes que tomasse para si a palavra, era interrompida. “Ouça o rio”, o pai dizia. Depois de cerca de duas horas a ouvir as águas do Solimões, ela mergulhava. “Confie no rio e aprenda com ele”. “Fui entender mais tarde, com meus estudos e vivências, que meu pai estava me apresentando à sabedoria milenar do rio”. Rios amazônicos influenciam no agro e em reservatórios do Sudeste. Disponível em: www.uol.com.br. Acesso em: 14 out. 2021.
Pelo descrito no texto, o povo Kambeba tem o rio como um(a)",e,enem_2022-1,2022,enem,objeto tombado e museográfico.,herança religiosa e sacralizada.,cenário bucólico e paisagístico.,riqueza individual e efêmera.,patrimônio cultural e afetivo.
enem_2010-1_q_1,1,Ciências Humanas,"Antes, eram apenas as grandes cidades que se apresentavam como o império da técnica, objeto de modificações, suspensões, acréscimos, cada vez mais sofisticadas e carregadas de artifício. Esse mundo artificial inclui, hoje, o mundo rural.

SANTOS, M. A Natureza do Espaço. São Paulo: Hucitec, 1996.

Considerando a transformação mencionada no texto, uma consequência socioespacial que caracteriza o atual mundo rural brasileiro é",b,enem_2010-1,2010,enem,a redução do processo de concentração de terras.,o aumento do aproveitamento de solos menos férteis.,a ampliação do isolamento do espaço rural.,a estagnação da fronteira agrícola do país.,a diminuição do nível de emprego formal.
exams_pt-br_fuvest_1981_q_32,32,Química,"Em uma solução aquosa de gás amônia eKiste o equihtrio:
NH3G)+ HrO(t) r * NHi(aq) + OH-(aq)
A adi@'o de hidróxido de sódio a essa solução:",e,exams_pt-br_fuvest_1981,1981,fuvest,diminú o pH da solução.,mantém inâlterado o pH da solução.,aumenta a concentração de íons amônio.,mantém inalterada a concêntração de íons amô nío.,aumenta a libeÍação do gás amônia.
