model,prompt_template,question_id,question_number,subject,chosen_answer,difficulty_level,uncertainty_level,bloom_taxonomy,is_correct,exam_name,provider,exam_year,exam_type
claude-3-opus-20240229,zero_shot,q_20,20,Português,C,6.0,3.0,Analyze,False,enem_2017-1,Anthropic,2017,enem
o3,role_playing,q_1,1,Ciências Humanas,e,6.0,3.0,Analyze,False,enem_2010-1,OpenAI,2010,enem
claude-opus-4-20250514,zero_shot,q_85,85,Inglês,c,4.0,1.0,Understand,True,unicamp_2016,Anthropic,2016,unicamp
claude-3-7-sonnet-20250219,chain_of_thought,q_94,94,"Linguagens, Códigos e suas Tecnologias",B,6.0,2.0,Analyze,False,enem_2011-2,Anthropic,2011,enem
o1,chain_of_thought,q_4,4,Filosofia,A,5.0,2.0,Analyze,False,enem_2024-1,OpenAI,2024,enem
gpt-4.1-mini,role_playing,q_168,168,Matemática,E,6.0,1.0,Apply,True,enem_2013-2,OpenAI,2013,enem
claude-3-5-haiku-20241022,zero_shot,q_70,70,Filosofia,D,7.0,3.0,Analyze,True,exams_pt-br_fuvest_2018,Anthropic,pt,exams
o4-mini,zero_shot,q_74,74,Português,E,5.0,2.0,Analyze,True,exams_pt-br_fuvest_2021,OpenAI,pt,exams
claude-3-7-sonnet-20250219,zero_shot,q_160,160,Matemática,e,7.0,2.0,Apply,False,enem_2019-2,Anthropic,2019,enem
o1,chain_of_thought,q_61,61,Tecnologias da Informação,E,4.0,2.0,Analyze,True,enem_2023-1,OpenAI,2023,enem
claude-3-5-sonnet-20241022,zero_shot,q_70,70,Sociologia,a,7.0,2.0,Analyze,False,unicamp_2024,Anthropic,2024,unicamp
claude-sonnet-4-20250514,role_playing,q_95,95,Inglês,e,2.0,1.0,Understand,False,enem_2015-2,Anthropic,2015,enem
gpt-4.1,role_playing,q_4,4,Filosofia,A,4.0,1.0,Analyze,False,enem_2024-1,OpenAI,2024,enem
o4-mini,chain_of_thought,q_94,94,"Linguagens, Códigos e suas Tecnologias",B,3.0,1.0,Analyze,False,enem_2011-2,OpenAI,2011,enem
gpt-4.1-mini,chain_of_thought,q_2,2,Química,b,5.0,1.0,Analyze,True,ita_2012-quimica,OpenAI,2012,ita
gpt-4.1,zero_shot,q_158,158,Física,c,6.0,2.0,Apply,True,enem_2019-2,OpenAI,2019,enem
claude-3-5-sonnet-20241022,zero_shot,q_45,45,Biologia,e,8.0,3.0,Apply,False,exams_pt-br_fuvest_2019,Anthropic,pt,exams
o1-preview,chain_of_thought,q_43,43,História,e,5.0,2.0,Analyze,True,exams_pt-br_fuvest_1991,OpenAI,pt,exams
gpt-4o-mini,chain_of_thought,q_51,51,Geografia,A,5.0,2.0,Understand,False,exams_pt-br_fuvest_2018,OpenAI,pt,exams
claude-3-7-sonnet-20250219,chain_of_thought,q_8,8,Tecnologias,A,6.0,3.0,Analyze,True,enem_2017-1,Anthropic,2017,enem
claude-3-5-haiku-20241022,role_playing,q_4,4,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,d,7.0,3.0,Analyze,True,enem_2014-1,Anthropic,2014,enem
deepseek-chat,chain_of_thought,q_92,92,Espanhol,a,6.0,3.0,Analyze,False,enem_2014-2,DeepSeek,2014,enem
deepseek-reasoner,chain_of_thought,q_89,89,Ciências da Natureza e suas Tecnologias,A,3.0,0.0,Understand,True,enem_2011-1,DeepSeek,2011,enem
o4-mini,zero_shot,q_67,67,Sociologia,b,3.0,0.0,Understand,True,unicamp_2023,OpenAI,2023,unicamp
o1-preview,chain_of_thought,q_37,37,Português,d,6.0,2.0,Analyze,False,ita_2010-portugues,OpenAI,2010,ita
o1,zero_shot,q_85,85,Inglês,c,3.0,2.0,Understand,True,unicamp_2016,OpenAI,2016,unicamp
claude-3-7-sonnet-20250219,chain_of_thought,q_87,87,Geografia,c,7.0,3.0,Analyze,True,enem_2017-1,Anthropic,2017,enem
o3,zero_shot,q_49,49,Biologia,b,4.0,4.0,Analyze,False,exams_pt-br_fuvest_2009,OpenAI,pt,exams
o3-pro,chain_of_thought,q_21,21,História,d,4.0,2.0,Analyze,True,enem_2011-1,OpenAI,2011,enem
o1-mini,role_playing,q_90,90,Inglês,b,3.0,0.0,Understand,False,exams_pt-br_fuvest_2018,OpenAI,pt,exams
